date,heartrate,speed,distance,stepcount,calories
2024-08-09,154.44000000000003,,6.067756511000001,9515.0,323.601
2024-08-11,131.1264,,15.285358,28864.0,722.344
2024-08-12,149.53025,,7.09570537,11438.0,314.48400000000004
2024-08-14,134.5805,,8.892791,18225.0,436.43899999999996
2024-08-16,147.2,,2.774192,4395.0,164.559
2024-08-25,123.9545,3.64621,0.10268595999999999,1038.0,10.543
2024-09-16,98.13264,2.96673625,2.568662263,5879.0,117.507
2024-09-18,118.99466666666666,3.7676399999999997,2.9384310000000005,6380.0,160.802
2024-09-30,122.40166666666666,3.806518333333333,3.6015379999999997,6788.0,170.29299999999998
2024-10-03,124.468,3.977274,3.99520662,7138.0,169.057
2024-10-07,135.369,3.877356666666667,4.198206,7596.0,211.20600000000002
2024-10-09,143.32266666666666,3.9668333333333337,4.8381170000000004,8250.0,244.34
2024-10-17,137.88600000000002,3.8117379999999996,5.881843999999999,10725.0,318.173
2024-10-21,142.3092,3.9370100000000003,7.310606,13032.0,368.00300000000004
2024-10-23,145.0425,3.5865566666666666,6.309405999999999,11522.0,348.711
2024-10-25,138.92425,3.8251625,6.351088,11676.0,330.308
2024-10-27,136.9422,3.9985225,6.523766,11722.0,357.709
2024-10-30,137.18824999999998,3.82516,6.418351,11683.0,357.247
2024-11-01,131.62433333333334,3.886675,6.9464939999999995,12224.0,397.53600000000006
2024-11-04,145.1795,3.877356666666666,6.954769000000001,11913.0,382.04800000000006
2024-11-06,145.67159999999998,3.6014675,6.949166000000001,12176.0,393.363
2024-11-09,127.78266666666666,3.8848133333333332,6.9258209,12513.0,372.244
2024-11-12,156.06799999999998,3.66858,6.595725,11236.0,340.021
2024-11-14,157.5716666666667,,5.467010999999999,9169.0,302.82
2024-11-15,155.78366666666668,,4.861739999999999,9045.0,297.086
2024-11-17,156.893,,5.569212,8227.0,298.107
2024-11-18,137.13524999999998,,5.497171,8901.0,274.045
2024-11-20,153.79666666666665,,4.911619,9077.0,276.243
2024-11-21,151.835,,5.271979,8978.0,264.613
2024-11-25,154.993,,7.103956999999999,11554.0,331.19899999999996
2024-11-27,154.07850000000002,,5.477767999999999,9874.0,335.30299999999994
2024-11-30,135.8298,,6.664969,14738.0,335.328
2024-12-02,134.5366,,7.21328,14984.0,368.10200000000003
2024-12-04,133.2884,,6.294993,14551.0,309.256
2024-12-06,131.30983333333333,,7.362237,15259.0,444.618
2024-12-09,130.27542857142856,4.02649,8.006461999999999,16150.0,443.35099999999994
2024-12-16,134.40875,,4.209816,8476.0,285.531
2025-02-24,158.01969365426694,3.42251,6.060882424,11440.0,378.61400000000003
2025-02-26,162.90284360189574,,5.46938155,9748.0,378.24300000000005
2025-02-28,160.34894613583137,,6.67327641,11625.0,385.12200000000007
2025-03-03,152.88053097345133,3.690945,6.626836572,11807.0,393.472
2025-03-05,157.19626168224298,,6.665604760000001,11610.0,390.94599999999997
2025-03-07,156.59722222222223,,6.58375453,11569.0,396.142
2025-03-10,158.57462686567163,,6.692271010000001,11530.0,396.347
2025-03-12,154.78622327790973,,5.79980863,9885.0,400.831
2025-03-14,158.26603325415678,,6.92579284,11527.0,402.18600000000004
2025-03-17,157.34834123222748,,5.61731979,9805.0,387.049
2025-03-19,156.95764705882354,,6.77109816,11743.0,399.37800000000004
2025-03-21,153.23040380047505,,6.58521871,11548.0,388.07
2025-03-23,154.04028436018956,,6.702875398,11566.0,393.78999999999996
2025-03-24,148.83610451306413,,6.5082116899999995,11588.0,381.27700000000004
2025-03-26,155.20525059665871,,7.03329666,11690.0,409.661
2025-03-28,152.6270783847981,,6.663971139999999,11516.0,389.052
2025-03-30,154.2601431980907,,5.8001241299999995,9809.0,397.803
2025-04-01,155.99287410926365,,6.70330847,11497.0,389.278
2025-04-02,148.99049881235155,,5.7186580199999995,9869.0,385.837
