date,heartrate,speed,distance,stepcount,calories
2017-04-10,104.4605,,1.269177,2550.0,67.646
2017-04-13,112.98433333333334,,9.201345,14201.0,419.732
2017-04-14,89.17908823529413,,6.68107008,11873.0,422.819
2017-04-15,99.25016428571426,,11.98549479,21230.0,519.1980000000001
2017-04-16,103.7955,,1.7924824,3301.0,66.209
2017-04-17,115.2442222222222,,11.708000775,20151.0,501.482
2017-04-18,116.29242222222221,,10.79657,17732.0,514.066
2017-04-19,100.28773333333334,,4.62409754,8690.0,264.526
2017-04-20,108.62051,,11.734415799999999,20692.0,508.77099999999996
2017-04-21,117.9037857142857,,8.667040977,13920.0,430.474
2017-04-22,111.125425,,7.215690400000001,12716.0,314.605
2017-04-23,102.185,,1.3411499999999998,1018.0,62.169999999999995
2017-04-24,83.2669,,1.7193247,2422.0,95.299
2017-04-25,111.728,,0.8731966200000001,1536.0,77.47
2017-04-27,150.2736,,3.2025922,5827.0,484.323
2017-04-28,110.316,,1.5114907000000002,2009.0,78.348
2017-04-29,100.961575,,3.7294469,5602.0,213.823
2017-05-01,121.00366666666667,,8.688884,15343.0,384.572
2017-05-02,105.52402,,2.56586332,1191.0,203.40099999999998
2017-05-03,98.3705,,1.380481,2564.0,71.36099999999999
2017-05-04,107.78625,,3.269705,6399.0,195.167
2017-05-05,92.7458,,1.391394,1196.0,63.967999999999996
2017-05-06,119.3005,,7.101668,11725.0,313.438
2017-05-07,109.5742,,5.208221,9291.0,263.611
2017-05-08,114.62237692307693,,14.501517400000001,24638.0,681.0319999999999
2017-05-09,116.90312222222221,,11.312785252,17558.0,557.733
2017-05-10,93.31612307692306,,10.566336,16656.0,476.99300000000005
2017-05-11,105.49915833333334,,13.461348899999999,23296.0,583.062
2017-05-12,120.01563333333331,,4.3904089399999995,6481.0,216.47500000000002
2017-05-13,96.25643333333335,,1.456004,2315.0,148.61499999999998
2017-05-14,121.9,,0.7557335999999999,330.0,66.806
2017-05-15,119.1149,,11.248256789999997,18938.0,575.322
2017-05-16,107.09915000000001,,4.226241460000001,7530.0,204.16299999999998
2017-05-17,123.67515,,11.171021499999997,16415.0,468.41
2017-05-18,107.54468571428572,,3.6145227199999996,5097.0,335.4270000000001
2017-05-19,125.9795,,0.877225,0.0,67.483
2017-05-20,90.04745000000001,,3.573686356,7231.0,191.482
2017-05-21,100.792,,0.851365446,1551.0,67.584
2017-05-22,108.72905833333334,,10.316418120000002,16541.0,509.588
2017-05-23,103.64007999999998,,4.450213395,6145.0,211.06799999999998
2017-05-24,115.44049999999999,,1.372032,2024.0,68.966
2017-05-25,102.57885,,10.50223102,17930.0,490.522
2017-05-26,85.6020076923077,,4.2344114,7443.0,606.2409999999999
2017-05-27,116.9085,,1.4273429999999998,1467.0,69.79
2017-05-28,85.47706666666666,,2.50022773,3784.0,216.92900000000003
2017-05-29,101.12967142857143,,4.549470530000001,8521.0,297.053
2017-05-30,112.47375000000001,,4.4548380000000005,7751.0,260.595
2017-05-31,114.18912222222222,,5.76964874,9413.0,313.965
2017-06-01,92.22378,,5.114552499999999,9905.0,258.896
2017-06-02,74.19479500000001,,3.7486261499999998,7157.0,305.148
2017-06-03,90.43665,,1.3491019999999998,2736.0,65.35499999999999
2017-06-04,90.25488750000001,,5.421834799999999,10617.0,314.24499999999995
2017-06-05,108.84075000000001,,2.3489000000000004,4603.0,173.44799999999998
2017-06-06,105.70663333333334,,5.013871140000001,9569.0,225.43299999999996
2017-06-07,107.4954,,1.761291,1943.0,124.81400000000002
2017-06-10,95.40367499999999,,2.6768438,4455.0,173.76
2017-06-11,94.87312,,3.551753,3452.0,241.45199999999997
2017-06-12,83.70576666666666,,1.4005975,2702.0,143.63
2017-06-13,99.3236,,4.25384,7497.0,241.161
2017-06-14,102.05452500000001,,3.8071149,3728.0,176.79999999999998
2017-06-15,113.867375,,7.910332000000001,11792.0,389.644
2017-06-16,93.64124545454546,,8.22067256,11536.0,438.259
2017-06-17,120.7085,,1.445249,2636.0,105.28999999999999
2017-06-19,103.89775999999999,,3.3958497,4543.0,195.972
2017-06-20,115.17227777777778,,11.015462999999999,17246.0,475.13300000000004
2017-06-21,105.26433333333334,,3.36238,5234.0,204.78
2017-06-22,111.87071428571429,,5.709263785999999,9870.0,374.809
2017-06-23,108.8789,,3.53617254,5357.0,187.822
2017-06-24,111.937,,0.4303669,412.0,91.313
2017-06-25,93.80257499999999,,2.628422,3351.0,206.89100000000002
2017-06-26,103.47438000000002,,4.262226,7700.0,370.41200000000003
2017-06-27,89.63242,,4.296330365999999,9007.0,709.4190000000001
2017-06-28,109.19983333333334,,3.986554,7912.0,369.384
2017-06-30,97.6912,,0.3438001,469.0,34.739
2017-07-01,105.492,,1.943305,3803.0,150.12199999999999
2017-07-02,114.5735,,1.381183,1913.0,65.543
2017-07-03,100.75557500000001,,11.079801497,19836.0,646.8530000000001
2017-07-04,105.15712857142856,,4.5072019999999995,8166.0,252.357
2017-07-05,109.95684285714286,,4.178101359999999,5519.0,255.51899999999998
2017-07-06,116.21077777777776,,10.137797831999999,17833.0,571.139
2017-07-07,99.75228,,3.950414,6841.0,250.62400000000002
2017-07-08,80.54379090909092,,4.220239,7642.0,462.272
2017-07-09,111.64812727272728,,10.702281643,17825.0,463.5830000000001
2017-07-10,122.01293333333332,,5.77240437,10190.0,305.682
2017-07-11,96.0724,,6.98918587,14311.0,515.2679999999999
2017-07-12,101.87882857142857,,4.40800849,5732.0,246.20999999999998
2017-07-13,98.2688125,,5.4055134,7960.0,253.98399999999998
